id,time,age,gender,nation,who,education,region,not_kz,played_vg,skills,skills_desc,culture_together,gaming_event,clubs,sleeping_trouble,sick,nation_important,play_only_nation,language_vg,language_communicate,barrier,barrier_desc,barrier_games,prefer_with,prefer_who,type_communication,platform,type_vg,discover_vg,factor_to_play,affect_relationship,affect_wellbeing,closer_teammates,discuss_vg,game_community,game_comunity_name,game_comunity_game,why_games,motivation_continue,for_competition,feel_while_playing,emotions_affect_while_playing,consequences,consequences_p_n,consequences_desc,mental_affect_vg,mental_desc,drained_after,freq_per_week,when_play,time_play,genre_vg,char,char_desc
1,16042023 14:41:00,16-19,Female ,Kazakh,Student,Incomplete higher professional education,Karaganda region,,Yes,Yes,,Yes,Yes,"No, but before yes",I have serious problems sleeping,"Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,кс го,With someone,friends,Voice,PC,Multiplayer,Ads,Price,"No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,reaction,better than others,"Yes, I play for the competition",satisfaction,Can affect my mood in real life,Yes,Negative,усталость ,Well,негативно,4,6-10 hours per week,I only play games on certain days,In the evening,Adventure,Villains,abilities
2,16042023 14:53:35,20-25,Female ,Kazakh,Employed,Average (full) general,East-Kazakhstan region,,Yes,Yes,"внимание, концентрация",Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,English,"No, I can safely play",,,Both,"friends, family",Voice,"Console, Mobile",Both,"recommendations, Social media","Graphics, Storyline, Price, reviews, game publisher, personal interest","Yes, games worsen our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation","gameplay, new goals, better than others, competition","Yes, I play for the competition","satisfaction, disappointment",Can affect my mood in real life,No,Positive,-,Well,,2,6-10 hours per week,I only play games on certain days,In the evening,"Action, Strategy, Role-playing",Neutral characters,"interesting, motives, biography, archetype"
3,16042023 14:54:06,16-19,Female ,Kazakh,Student,Higher professional education,Almaty region,,Yes,Unsure,,Yes,No,No,Sometimes there are small problems,"Quite often, every month or more often",No,No,English,English,"No, I can safely play",,,With someone,friends,Voice,Mobile,Both,"recommendations, Social media, Ads",reviews,"No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, friends","gameplay, new goals","No, I play for other purposes",joy,"Can affect my game, lead to mistakes",No,,Еще такого не было ,Well,,3,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Puzzle, Sports, Adventure",Kind characters,"interesting, abilities"
4,16042023 14:57:32,16-19,Female ,Kazakh,Student,Incomplete higher professional education,Aktobe region,,No,Unsure,,Yes,No,"No, but before yes",I often have trouble sleeping,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16042023 14:58:15,20-25,Female ,Kazakh,Student,Initial professional,Karaganda region,,Yes,Yes,,Yes,No,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,"Alone, friends",Voice,"PC, Mobile",Both,"recommendations, Ads","Graphics, Storyline, reviews, personal interest","No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation","gameplay, better than others","No, I play for other purposes","satisfaction, excitement, joy",Make the game more interesting,No,Positive,,Well,С друзьями больше сближаемся,1,1-5 hours per week,I only play games on certain days,In the evening,"Puzzle, Adventure, Simulation",Neutral characters,"motives, style"
6,16042023 14:59:09,20-25,Female ,Kazakh,Student,Incomplete higher professional education,Karaganda region,,Yes,Yes,в изучении иностранных языков ,Yes,No,Yes,"No, I have no trouble","Rarely, once or twice a year",No,No,English,Russian,"No, I can safely play",,,Both,family,Chat,"PC, Console, Mobile",Both,Social media,"Storyline, personal interest","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,relaxation,gameplay,"No, I play for other purposes",joy,Make the game more interesting,No,Positive,нормальные ,Well,нормально ,4,Less than 1 hour per week,I only play games on certain days,At night,"Action, Puzzle, Adventure",Villains,"interesting, archetype"
7,16042023 15:02:50,20-25,Female ,Kazakh,Employed,Higher professional education,Atyrau region,,Yes,Unsure,,Unsure,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,,Both,"friends, community",Voice,Mobile,Multiplayer,"Social media, gaming websites","Price, personal interest","Yes, games improve our relationship",No effect,No,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",satisfaction,Can affect my mood in real life,No,Negative,,Well,Норм,6,Less than 1 hour per week,I only play games on certain days,At night,"Action, Simulation",Villains,design
8,16042023 15:02:55,20-25,Male ,Kazakh,Student,Secondary vocational,Almaty region,,Yes,Yes,Listening,Unsure,Yes,Yes,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends, community, family",Voice,"PC, Mobile",Both,"recommendations, reviews, gaming websites","Graphics, Storyline, Price, reviews, personal interest","No, games don't affect our relationship",No effect,No,"Yes, I discuss games with my closers",No,,,"relaxation, friends, achieve","gameplay, competition","Yes, I play for the competition","satisfaction, excitement, joy",Can affect my mood in real life,No,,,Well,Allow to release bad emotions,2,1-5 hours per week,I only play games on certain days,At night,"Action, Puzzle, Strategy, Sports",Neutral characters,"interesting, motives, abilities, interpersonal"
9,16042023 15:03:33,16-19,Male ,Kazakh,Student,Initial professional,Turkestan region,,Yes,Yes,,Yes,No,No,Sometimes there are small problems,"Quite often, every month or more often",No,No,Russian,Russian,Yes,,,Both,"Alone, friends, community, family",Voice,PC,Both,"recommendations, Social media, Ads, reviews, gaming websites","Storyline, personal interest","Yes, games improve our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation","gameplay, improve skills","No, I play for other purposes","satisfaction, joy, disappointment",Make the game more interesting,Yes,Negative,,Badly,Анека лоооооооооооооооох,3,Less than 1 hour per week,I only play games on certain days,At night,"Action, Puzzle, Strategy, Sports, Simulation",Villains,"interesting, abilities, style, design"
10,16042023 15:08:02,16-19,Female ,Kazakh,Student,Higher professional education,Abai region,,No,Unsure,-,No,No,Yes,Sometimes there are small problems,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
